,t,x1,x2,y1,y2,eval_node_id,diagonal_length,step,t_org,y_org
0,4.350387529797163,0.6781121899263327,0.9280373522655425,3.076188523108968,-3.076188523108968,0,0,0,4.350387529797163,0.0
1,9.075284639968423,-0.9410795327468464,-0.32585810252893244,6.417195310119788,-6.417195310119788,0,0,1,9.075284639968423,0.0
2,0.1684438519818099,0.07149765702732358,-0.06417534480420661,0.09593529961900989,-0.14228028035203183,0,[ 1. -1.],2,0.1684438519818099,-0.032770850150279696
3,5.2699628815824795,0.9197594332325643,-0.5297598840721081,3.72642649016837,-3.72642649016837,0,0,3,5.2699628815824795,0.0
4,3.090292399736423,0.2621526452339502,-0.4396091888160958,1.9742804821510223,-2.396052941254725,0,[ 1. -1.],4,3.090292399736423,-0.298238165949954
5,4.946109580869374,0.8531495449969919,0.8510838951742279,3.497427625124487,-3.497427625124487,0,0,5,4.946109580869374,0.0
6,7.359698793755523,0.6462422208611134,-0.597656148695054,5.204092924554985,-5.204092924554985,0,0,6,7.359698793755523,0.0
7,5.058673964502077,0.5159240154558091,-0.36877213050433366,3.4954905270227283,-3.658554801199782,0,[ 1. -1.],7,5.058673964502077,-0.11530385403985721
8,8.596102096246645,0.8594756935042092,-0.3720436647371985,6.078362084027899,-6.078362084027899,0,0,8,8.596102096246645,0.0
9,5.433550700915949,-0.6605309828018613,0.7090765347432668,3.842100546538586,-3.842100546538586,0,0,9,5.433550700915949,0.0
10,8.325819781445489,0.3408854801666734,0.19595218185004937,5.559738396419014,-6.214748856375396,0,[1. 1.],10,8.325819781445489,-0.4631623379832772
11,4.787649790459652,-0.42421216309388754,-0.9921018852857455,3.385379632780374,-3.385379632780374,0,0,11,4.787649790459652,0.0
12,2.8100292042303385,0.2683463793549796,0.7731434207269621,1.9869907056435103,-1.9869907056435103,0,0,12,2.8100292042303385,0.0
13,1.6053435125257665,0.7117623547025573,0.4823297176506327,1.1351492838408008,-1.1351492838408008,0,0,13,1.6053435125257665,0.0
14,4.58128111634557,-0.17221024102791604,-0.24843606651771655,2.829790019249881,-3.6491198685297785,0,[-1. -1.],14,4.58128111634557,-0.5793536924543674
15,5.021589656940702,0.45915691797594027,0.33174706136177545,3.3706153515552364,-3.7309848459627633,1,[-0.25  0.25],15,5.021589656940702,-0.25481971322832964
16,8.10431415736907,-0.16529590711022268,0.1585056889543861,5.252471020691575,-6.208759974392045,0,[-1.  1.],16,8.10431415736907,-0.6761984039353912
17,6.14373689192199,-0.3830858805103581,-0.12690985699936674,3.9977926812868163,-4.69076335492119,0,[-1. -1.],17,6.14373689192199,-0.4900042624902752
18,9.500424305897573,0.043866563668729874,0.6216240382154257,6.481280587071328,-6.954348314628017,0,[1. 1.],18,9.500424305897573,-0.33450939811584446
19,7.499379470389385,0.8667523108212236,0.45959757401932166,5.302862078203513,-5.302862078203513,0,0,19,7.499379470389385,0.0
20,7.282850383714243,0.9251871704786265,-0.2957894545896511,5.149752892691391,-5.149752892691391,0,0,20,7.282850383714243,0.0
21,9.61541070815394,-0.5142834966341907,-0.9308095898534021,6.799122115629395,-6.799122115629395,0,0,21,9.61541070815394,0.0
22,9.446627215528798,0.10449820449436853,-0.859873494999184,6.654581150551546,-6.704967176332068,0,[ 1. -1.],22,9.446627215528798,-0.0356283005064475
23,0.5462735826560716,-0.13796714156269507,0.1437353880206118,0.19919376894576032,-0.5733537404125961,0,[-1.  1.],23,0.5462735826560716,-0.26457105307276474
24,8.351225437583915,-0.8536740720879068,0.4432407430086098,5.90520813813318,-5.90520813813318,0,0,24,8.351225437583915,0.0
25,9.363208422517813,-0.4532236638074443,-0.7004291508861364,6.620788169225342,-6.620788169225342,0,0,25,9.363208422517813,0.0
26,8.845972107593997,-0.535276168829349,0.41681543933759535,6.221170514725876,-6.288923212207668,0,[-1.  1.],26,8.845972107593997,-0.04790839183305562
27,5.351227432116053,0.3070972015656317,0.5497601554034992,3.682672071356644,-3.8851063384848294,0,[1. 1.],27,5.351227432116053,-0.1431426430308691
28,0.20482899873991545,-0.011647054956209324,-0.24296840372869188,0.14483597399264503,-0.14483597399264503,0,0,28,0.20482899873991545,0.0
29,6.648825337192843,-0.5416252820870588,-0.34757274639577407,4.623080657425366,-4.779778308282621,0,[-1. -1.],29,6.648825337192843,-0.11080197151716709
30,1.549763175117872,0.7128838039767478,0.9952293618343859,1.0958480503590422,-1.0958480503590422,0,0,30,1.549763175117872,0.0
31,4.1580344617244425,0.4325778048171096,0.9647722725635266,2.9401743642927096,-2.9401743642927096,0,0,31,4.1580344617244425,0.0
32,3.891497405570743,-0.7215815161855728,-0.4951477293534905,2.751704204448929,-2.751704204448929,0,0,32,3.891497405570743,0.0
33,5.549271010361587,0.731851182409178,-0.511287303554927,3.9239271620686025,-3.9239271620686025,0,0,33,5.549271010361587,0.0
34,9.026043657767177,-0.4541576498623947,-0.3658588417947086,6.255109118441993,-6.509644236944009,0,[-1. -1.],34,9.026043657767177,-0.17998350834289667
35,6.049060169365216,-0.7083530604204382,-0.3916510338179151,4.277331465563591,-4.277331465563591,0,0,35,6.049060169365216,0.0
36,3.0216146834706867,-0.525034709734485,-0.6792106994835323,2.136604232814966,-2.136604232814966,0,0,36,3.0216146834706867,0.0
37,1.1029667760787232,0.43541505281198045,0.5114076083032564,0.7423132298578584,-0.8175173437196007,0,[1. 1.],37,1.1029667760787232,-0.05317733888476317
38,5.23505908212409,0.8938428926702817,-0.9122020030057827,3.7017457768821678,-3.7017457768821678,0,0,38,5.23505908212409,0.0
